num,message_id,tag,user_id,username,join_date,country,followers,following,posts_count,likes_counts,watchlist_counts,platform
4410,470702728,Bullish,1870449,9owls,2019-02-14,US,109,4,12216,1108,22,Web
4411,470700855,Bullish,6736102,Russell35,2022-07-08,NULL,0,0,1,0,2,Web
4412,470697824,NULL,6623818,jeffrey_Almocera,2022-05-16,US,2,1,104,11,10,Web
4413,470696524,NULL,296805,TalkMarkets,2014-01-05,US,29870,340,316015,529,0,TalkMarkets
4414,470695220,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4415,470694346,Bullish,2841306,DeFi_Wookie,2019-10-04,US,329,19,25188,6769,21,iOS
4416,470693540,NULL,2942766,Decrypt,2019-12-01,US,291,362,12134,169,0,Zapier
4417,470693369,Bearish,5632216,TheRentIsDue,2021-06-23,US,25,37,1623,2967,7,iOS
4418,470690503,Bullish,6099294,Motogte,2021-11-13,US,28,1,6896,3621,64,Android
4419,470689420,NULL,296805,TalkMarkets,2014-01-05,US,29870,340,316015,529,0,TalkMarkets
4420,470689058,NULL,6734493,dyizmil,2022-07-07,US,0,0,25,11,14,Android
4421,470683732,Bullish,6574716,cryptoforecast,2022-04-26,US,42,53,1756,5160,65,Android
4422,470683282,NULL,6574716,cryptoforecast,2022-04-26,US,42,53,1756,5160,65,Android
4423,470681455,Bullish,6708231,Darthtrader06,2022-06-23,NULL,0,2,94,243,9,iOS
4424,470680532,Bearish,3566899,Smartinvestor00,2020-06-06,US,37,6,829,289,41,iOS
4425,470680502,Bullish,3446598,DFWxplorer,2020-05-13,US,192,67,7167,95038,44,iOS
4426,470679765,NULL,6656692,NonCentss,2022-05-30,US,0,0,105,75,6,Web
4427,470677747,Bullish,6702194,LiveLucky9,2022-06-19,NULL,2,2,393,116,54,Web
4428,470676587,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4429,470676525,Bullish,854155,Rob8729,2016-10-05,US,17,5,1375,934,46,iOS
4430,470676189,NULL,824432,rexman,2016-08-20,US,1602,0,22332,9651,299,Android
4431,470674665,Bullish,5731059,Jinx1220,2021-07-17,US,45,52,3089,16983,73,Android
4432,470674506,Bullish,6385742,LUNA2022,2022-03-10,US,23,5,2045,649,4,iOS
4433,470673362,Bearish,6005288,Ethman1994,2021-10-21,US,8,0,1527,41,0,Web
4434,470672256,NULL,4785898,Joe_Shiesty,2021-01-29,US,171,84,4967,3206,97,iOS
4435,470671601,Bullish,1380674,Vitaliyy,2018-01-23,US,2,2,248,23,25,iOS
4436,470668617,NULL,3902238,Pitbullbearista,2020-08-04,US,259,48,21433,13076,83,iOS
4437,470668020,Bearish,4629397,funds_are_safu,2021-01-19,US,51,31,8667,7250,52,iOS
4438,470667228,NULL,2183314,just4funinvestments,2019-07-08,US,100,7,7610,3363,92,iOS
4439,470667020,Bullish,1441272,JustKatherine,2018-03-12,US,2224,16,4052,2377,181,Android
4440,470663956,Bullish,5321723,MWadeTrades,2021-04-06,US,863,11,5523,12137,5,iOS
4441,470662919,Bullish,1386636,1bebop,2018-01-26,US,10,29,1259,382,2,Web
4442,470661448,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4443,470660781,Bullish,3333164,franknm,2020-04-20,US,14,7,3431,2469,54,iOS
4444,470657952,NULL,3841714,clandestine,2020-07-23,US,144,244,8586,32341,286,Web
4445,470657516,Bullish,6686601,bouber,2022-06-09,US,2,0,122,42,27,Web
4446,470656445,NULL,824432,rexman,2016-08-20,US,1602,0,22332,9650,300,Android
4447,470650966,Bullish,1158084,GodiTwits,2017-08-16,US,2252,6,24167,12130,299,iOS
4448,470650882,Bullish,1870449,9owls,2019-02-14,US,109,4,12216,1108,22,Web
4449,470649981,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4450,470647249,Bullish,1158084,GodiTwits,2017-08-16,US,2252,6,24167,12130,299,iOS
4451,470645680,NULL,493176,WarHammerCapital,2015-03-29,US,150,74,12121,2797,37,iOS
4452,470644230,Bearish,6669757,Fair0,2022-06-03,US,12,25,107,311,15,Android
4453,470642368,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8449,3,167850,21811,296,Web
4454,470642013,NULL,4303359,Bearswin2,2020-11-14,US,68,10,6157,414,91,Android
4455,470641882,Bullish,1870449,9owls,2019-02-14,US,109,4,12216,1108,22,Web
4456,470641554,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4457,470641500,NULL,3927671,topoftheworld,2020-08-09,US,33,11,6159,29295,65,iOS
4458,470641247,Bearish,4314912,lusoSpanishTrader,2020-11-18,US,51,9,2579,1675,27,Android
4459,470640566,NULL,4454753,Tristanvdb,2020-12-21,US,37,5,1575,104,25,iOS
4460,470639919,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4461,470639315,NULL,128933,ElliottwaveForecast,2012-01-10,US,42889,17,399335,6,25,Web
4462,470638616,NULL,254176,tuningin,2013-08-18,US,31,28,6064,5421,19,iOS
4463,470638567,Bearish,5989970,MOASS_inc,2021-10-16,US,12,3,1950,1966,12,Android
4464,470637196,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4465,470636324,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4466,470635039,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4467,470633235,Bearish,3975552,Honeycombz11,2020-08-19,US,69,9,4631,3257,46,Web
4468,470632357,Bullish,3503251,jtc318,2020-05-25,US,0,0,165,301,6,iOS
4469,470632225,Bearish,2965014,Dave002,2019-12-12,US,14,7,2092,1789,106,iOS
4470,470627413,NULL,5085751,Vinylandvelvet,2021-02-19,US,79,45,6766,2204,20,iOS
4471,470627107,NULL,1263138,RGeek,2017-11-10,US,626,386,23421,4872,193,iOS
4472,470626444,NULL,3902238,Pitbullbearista,2020-08-04,US,259,48,21433,13076,83,iOS
4473,470625476,Bullish,6132177,lovecrypto11,2021-11-25,US,14,3,859,13194,98,Android
4474,470624320,NULL,3927671,topoftheworld,2020-08-09,US,33,11,6159,29295,65,iOS
4475,470624267,NULL,4303359,Bearswin2,2020-11-14,US,68,10,6157,414,91,Android
4476,470624224,Bearish,4992123,TheAnxiousJourney,2021-02-11,US,48,2,8734,1881,20,Android
